long,lat,bio_1,bio_12
-77.38940993,-6.184416789,122,1508
-77.3060766,-6.184416789,181,1440
-77.09774326,-6.184416789,221,1311
-76.84774326,-6.184416789,204,1522
-76.8060766,-6.184416789,223,1048
-76.4310766,-6.184416789,245,1710
-76.3060766,-6.184416789,257,1970
-76.1810766,-6.184416789,256,2095
-75.84774327,-6.184416789,256,2190
-75.5560766,-6.184416789,252,2226
-75.38940994,-6.184416789,253,2367
-75.22274327,-6.184416789,256,2325
-75.0560766,-6.184416789,255,2366
-77.72274326,-6.226083455,156,798
-77.59774326,-6.226083455,134,1030
-77.47274326,-6.226083455,133,1033
-77.09774326,-6.226083455,215,1308
-76.8060766,-6.226083455,219,1203
-76.72274326,-6.226083455,208,1625
-76.6810766,-6.226083455,232,1163
-76.63940993,-6.226083455,214,1309
-76.59774326,-6.226083455,222,1446
-76.5560766,-6.226083455,233,1353
-76.4310766,-6.226083455,229,2093
-76.22274327,-6.226083455,256,2060
-76.1810766,-6.226083455,256,2109
-75.76440993,-6.226083455,256,2075
-75.72274327,-6.226083455,256,2137
-75.38940994,-6.226083455,254,2218
-75.3060766,-6.226083455,255,2255
-77.68107659,-6.267750122,154,797
-77.63940993,-6.267750122,126,1039
-77.3060766,-6.267750122,144,1695
-77.09774326,-6.267750122,205,1349
-76.8060766,-6.267750122,207,1455
-76.6810766,-6.267750122,228,1328
-76.22274327,-6.267750122,256,1855
-76.09774327,-6.267750122,257,1984
-76.01440993,-6.267750122,257,1987
-75.63940994,-6.267750122,255,2032
-75.38940994,-6.267750122,254,2260
-75.13940994,-6.267750122,256,2370
-75.0560766,-6.267750122,256,2330
-77.68107659,-6.309416788,151,946
-77.55607659,-6.309416788,137,1259
-77.43107659,-6.309416788,143,994
-77.26440993,-6.309416788,142,1740
-77.22274326,-6.309416788,162,1736
-76.97274326,-6.309416788,179,1363
-76.6810766,-6.309416788,220,1493
-76.5560766,-6.309416788,213,1480
-76.09774327,-6.309416788,257,1963
-76.01440993,-6.309416788,257,2014
-75.6810766,-6.309416788,256,2110
-75.47274327,-6.309416788,253,2248
-75.4310766,-6.309416788,253,2295
-75.1810766,-6.309416788,256,2229
-75.0560766,-6.309416788,256,2287
-77.72274326,-6.351083455,122,1304
-77.34774326,-6.351083455,139,1294
-77.3060766,-6.351083455,136,1212
-77.0560766,-6.351083455,176,1402
-76.9310766,-6.351083455,178,1493
-76.88940993,-6.351083455,195,1049
-76.59774326,-6.351083455,238,1104
-76.38940993,-6.351083455,215,1965
-76.09774327,-6.351083455,256,2005
-76.0560766,-6.351083455,256,1982
-75.63940994,-6.351083455,256,2140
-75.38940994,-6.351083455,255,2175
-77.68107659,-6.392750121,155,1108
-77.63940993,-6.392750121,164,919
-77.59774326,-6.392750121,174,1015
-77.55607659,-6.392750121,189,804
-77.43107659,-6.392750121,174,880
-77.38940993,-6.392750121,159,1061
-77.34774326,-6.392750121,160,1048
-77.3060766,-6.392750121,153,1046
-76.8060766,-6.392750121,177,1533
